"region","region_name","province","city_municipality","is_capital","population_2015","land_area_sqkm","population_density"
"NCR","National Capital Region","NCR","City of Manila","no",1780148,24.98,71263
"NCR","National Capital Region","NCR","Quezon City","no",2936116,171.71,17099
"NCR","National Capital Region","NCR","Caloocan City","no",1583978,55.80,28387
"NCR","National Capital Region","NCR","Pasay City","no",416522,13.97,29815
"NCR","National Capital Region","NCR","City of Las Piñas","no",588894,32.69,18014
"NCR","National Capital Region","NCR","City of Makati","no",582602,21.57,27010
"NCR","National Capital Region","NCR","City of Malabon","no",365525,15.71,23267
"NCR","National Capital Region","NCR","City of Mandaluyong","no",386276,9.29,41580
"NCR","National Capital Region","NCR","City of Marikina","no",450741,21.52,20945
"NCR","National Capital Region","NCR","City of Muntinlupa","no",504509,39.75,12692
"NCR","National Capital Region","NCR","City of Navotas","no",249463,8.94,27904
"NCR","National Capital Region","NCR","City of Parañaque","no",665822,46.57,14297
"NCR","National Capital Region","NCR","City of Pasig","no",755300,48.46,15586
"NCR","National Capital Region","NCR","City of San Juan","no",122180,5.95,20534
"NCR","National Capital Region","NCR","Taguig City","no",804915,45.21,17804
"NCR","National Capital Region","NCR","City of Valenzuela","no",620422,47.02,13195
"NCR","National Capital Region","NCR","Municipality of Pateros","no",63840,10.40,6138
"CAR","Cordillera Administrative Region","Abra","Bangued","yes",48163,136.40,353
"CAR","Cordillera Administrative Region","Abra","Boliney","no",3573,210.00,17
"CAR","Cordillera Administrative Region","Abra","Bucay","no",17115,102.16,168
"CAR","Cordillera Administrative Region","Abra","Bucloc","no",2501,63.77,39
"CAR","Cordillera Administrative Region","Abra","Daguioman","no",2088,114.37,18
"CAR","Cordillera Administrative Region","Abra","Danglas","no",4192,156.02,27
"CAR","Cordillera Administrative Region","Abra","Dolores","no",11315,47.45,238
"CAR","Cordillera Administrative Region","Abra","La Paz","no",15437,51.41,300
"CAR","Cordillera Administrative Region","Abra","Lacub","no",3403,235.53,14
"CAR","Cordillera Administrative Region","Abra","Lagangilang","no",14255,124.20,115
"CAR","Cordillera Administrative Region","Abra","Lagayan","no",4499,215.97,21
"CAR","Cordillera Administrative Region","Abra","Langiden","no",3198,116.29,28
"CAR","Cordillera Administrative Region","Abra","Licuan-Baay","no",4689,256.42,18
"CAR","Cordillera Administrative Region","Abra","Luba","no",6339,148.27,43
"CAR","Cordillera Administrative Region","Abra","Malibcong","no",3428,283.17,12
"CAR","Cordillera Administrative Region","Abra","Manabo","no",10761,81.08,133
"CAR","Cordillera Administrative Region","Abra","Peñarrubia","no",6640,39.07,170
"CAR","Cordillera Administrative Region","Abra","Pidigan","no",12185,49.15,248
"CAR","Cordillera Administrative Region","Abra","Pilar","no",10223,66.10,155
"CAR","Cordillera Administrative Region","Abra","Sallapadan","no",6622,128.62,51
"CAR","Cordillera Administrative Region","Abra","San Isidro","no",4574,48.07,95
"CAR","Cordillera Administrative Region","Abra","San Juan","no",9867,64.08,154
"CAR","Cordillera Administrative Region","Abra","San Quintin","no",5438,66.59,82
"CAR","Cordillera Administrative Region","Abra","Tayum","no",14467,55.68,260
"CAR","Cordillera Administrative Region","Abra","Tineg","no",5097,744.80,7
"CAR","Cordillera Administrative Region","Abra","Tubo","no",5699,492.12,12
"CAR","Cordillera Administrative Region","Abra","Villaviciosa","no",5392,102.93,52
"CAR","Cordillera Administrative Region","Apayao","Calanasan","no",12604,1256.15,10
"CAR","Cordillera Administrative Region","Apayao","Conner","no",26051,694.30,38
"CAR","Cordillera Administrative Region","Apayao","Flora","no",17391,413.38,42
"CAR","Cordillera Administrative Region","Apayao","Kabugao","yes",15537,935.12,17
"CAR","Cordillera Administrative Region","Apayao","Luna","no",19063,606.04,31
"CAR","Cordillera Administrative Region","Apayao","Pudtol","no",14925,401.02,37
"CAR","Cordillera Administrative Region","Apayao","Santa Marcela","no",13613,196.32,69
"CAR","Cordillera Administrative Region","Benguet","Atok","no",19668,214.99,91
"CAR","Cordillera Administrative Region","Benguet","Bakun","no",15357,286.91,54
"CAR","Cordillera Administrative Region","Benguet","Bokod","no",13756,274.96,50
"CAR","Cordillera Administrative Region","Benguet","Buguias","no",43627,175.88,248
"CAR","Cordillera Administrative Region","Benguet","Itogon","no",59820,449.73,133
"CAR","Cordillera Administrative Region","Benguet","Kabayan","no",15260,242.69,63
"CAR","Cordillera Administrative Region","Benguet","Kapangan","no",19361,164.39,118
"CAR","Cordillera Administrative Region","Benguet","Kibungan","no",17292,254.86,68
"CAR","Cordillera Administrative Region","Benguet","La Trinidad","yes",129133,70.04,1844
"CAR","Cordillera Administrative Region","Benguet","Mankayan","no",35953,130.48,276
"CAR","Cordillera Administrative Region","Benguet","Sablan","no",11457,105.63,108
"CAR","Cordillera Administrative Region","Benguet","Tuba","no",47648,295.97,161
"CAR","Cordillera Administrative Region","Benguet","Tublay","no",17892,102.55,174
"CAR","Cordillera Administrative Region","Benguet","Baguio City","no",345366,57.51,6005
"CAR","Cordillera Administrative Region","Ifugao","Aguinaldo","no",19408,538.05,36
"CAR","Cordillera Administrative Region","Ifugao","Alfonso Lista","no",32119,347.46,92
"CAR","Cordillera Administrative Region","Ifugao","Asipulo","no",15261,182.87,83
"CAR","Cordillera Administrative Region","Ifugao","Banaue","no",21837,191.20,114
"CAR","Cordillera Administrative Region","Ifugao","Hingyon","no",9227,62.02,149
"CAR","Cordillera Administrative Region","Ifugao","Hungduan","no",9400,260.30,36
"CAR","Cordillera Administrative Region","Ifugao","Kiangan","no",17048,200.00,85
"CAR","Cordillera Administrative Region","Ifugao","Lagawe","yes",19333,208.91,93
"CAR","Cordillera Administrative Region","Ifugao","Lamut","no",25279,149.45,169
"CAR","Cordillera Administrative Region","Ifugao","Mayoyao","no",17331,238.05,73
"CAR","Cordillera Administrative Region","Ifugao","Tinoc","no",16559,239.70,69
"CAR","Cordillera Administrative Region","Kalinga","Balbalan","no",12195,542.69,22
"CAR","Cordillera Administrative Region","Kalinga","Lubuagan","no",8733,234.20,37
"CAR","Cordillera Administrative Region","Kalinga","Pasil","no",9644,189.00,51
"CAR","Cordillera Administrative Region","Kalinga","Pinukpuk","no",32026,743.56,43
"CAR","Cordillera Administrative Region","Kalinga","Rizal","no",17038,281.79,60
"CAR","Cordillera Administrative Region","Kalinga","Tanudan","no",9534,307.55,31
"CAR","Cordillera Administrative Region","Kalinga","Tinglayan","no",12868,283.00,45
"CAR","Cordillera Administrative Region","Kalinga","City of Tabuk","yes",110642,700.25,158
"CAR","Cordillera Administrative Region","Mountain Province","Barlig","no",4819,228.64,21
"CAR","Cordillera Administrative Region","Mountain Province","Bauko","no",31065,170.37,182
"CAR","Cordillera Administrative Region","Mountain Province","Besao","no",7040,173.62,41
"CAR","Cordillera Administrative Region","Mountain Province","Bontoc","yes",24643,396.10,62
"CAR","Cordillera Administrative Region","Mountain Province","Natonin","no",10272,252.00,41
"CAR","Cordillera Administrative Region","Mountain Province","Paracelis","no",28121,570.16,49
"CAR","Cordillera Administrative Region","Mountain Province","Sabangan","no",9315,72.04,129
"CAR","Cordillera Administrative Region","Mountain Province","Sadanga","no",8799,259.79,34
"CAR","Cordillera Administrative Region","Mountain Province","Sagada","no",11127,109.71,101
"CAR","Cordillera Administrative Region","Mountain Province","Tadian","no",19389,157.00,123
"Region I","Ilocos","Ilocos Norte","Adams","no",1792,159.31,11
"Region I","Ilocos","Ilocos Norte","Bacarra","no",32215,65.32,493
"Region I","Ilocos","Ilocos Norte","Badoc","no",31616,76.68,412
